SampleID,作物,氮水平,蚯蚓处理,variable,variable_label,value,unit,variable_group
W-N1-1,小麦,50%氮肥,不加蚯蚓,TC_gkg,TC,14.301609992981,g kg^-1,C_N_pool
W-N1-1,小麦,50%氮肥,不加蚯蚓,TN_gkg,TN,0.527803227305412,g kg^-1,C_N_pool
W-N1-1,小麦,50%氮肥,不加蚯蚓,SOC_gkg,SOC,1.78457487751764,g kg^-1,C_N_pool
W-N1-1,小麦,50%氮肥,不加蚯蚓,NO3_N,NO3--N,52.6927370531455,mg kg^-1,available_N
W-N1-1,小麦,50%氮肥,不加蚯蚓,NH4_N,NH4+-N,32.787362600467,mg kg^-1,available_N
W-N1-1,小麦,50%氮肥,不加蚯蚓,N_availability,Available N,85.4800996536125,mg kg^-1,available_N
W-N1-1,小麦,50%氮肥,不加蚯蚓,pH,pH,7.25,none,supplement
W-N1-1,小麦,50%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,7.04375667022412,%,supplement
W-N1-3,小麦,50%氮肥,不加蚯蚓,TC_gkg,TC,15.9806001186371,g kg^-1,C_N_pool
W-N1-3,小麦,50%氮肥,不加蚯蚓,TN_gkg,TN,1.27231806516647,g kg^-1,C_N_pool
W-N1-3,小麦,50%氮肥,不加蚯蚓,SOC_gkg,SOC,0.820560149126071,g kg^-1,C_N_pool
W-N1-3,小麦,50%氮肥,不加蚯蚓,NO3_N,NO3--N,42.7379122619837,mg kg^-1,available_N
W-N1-3,小麦,50%氮肥,不加蚯蚓,NH4_N,NH4+-N,18.4839359839902,mg kg^-1,available_N
W-N1-3,小麦,50%氮肥,不加蚯蚓,N_availability,Available N,61.2218482459739,mg kg^-1,available_N
W-N1-3,小麦,50%氮肥,不加蚯蚓,pH,pH,7.23,none,supplement
W-N1-3,小麦,50%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,21.1736237144586,%,supplement
W-N1-7,小麦,50%氮肥,不加蚯蚓,TC_gkg,TC,11.8988227844238,g kg^-1,C_N_pool
W-N1-7,小麦,50%氮肥,不加蚯蚓,TN_gkg,TN,0.454978197813034,g kg^-1,C_N_pool
W-N1-7,小麦,50%氮肥,不加蚯蚓,SOC_gkg,SOC,1.07288670906712,g kg^-1,C_N_pool
W-N1-7,小麦,50%氮肥,不加蚯蚓,NO3_N,NO3--N,55.5759706497192,mg kg^-1,available_N
