sample_id,group,metric,value
C01,Control,nematode_density,38.0
C02,Control,nematode_density,42.0
C03,Control,nematode_density,39.0
C04,Control,nematode_density,44.0
C05,Control,nematode_density,41.0
A01,Treatment_A,nematode_density,31.0
A02,Treatment_A,nematode_density,29.0
A03,Treatment_A,nematode_density,32.0
A04,Treatment_A,nematode_density,30.0
A05,Treatment_A,nematode_density,28.0
B01,Treatment_B,nematode_density,24.0
B02,Treatment_B,nematode_density,22.0
B03,Treatment_B,nematode_density,25.0
B04,Treatment_B,nematode_density,23.0
B05,Treatment_B,nematode_density,21.0
C01,Control,plant_height,18.2
C02,Control,plant_height,17.9
C03,Control,plant_height,18.8
C04,Control,plant_height,17.5
C05,Control,plant_height,18.4
A01,Treatment_A,plant_height,21.4
A02,Treatment_A,plant_height,22.1
A03,Treatment_A,plant_height,20.9
A04,Treatment_A,plant_height,21.7
A05,Treatment_A,plant_height,22.4
B01,Treatment_B,plant_height,24.8
B02,Treatment_B,plant_height,25.2
B03,Treatment_B,plant_height,23.9
B04,Treatment_B,plant_height,24.5
B05,Treatment_B,plant_height,25.5
C01,Control,root_biomass,2.1
C02,Control,root_biomass,2.0
C03,Control,root_biomass,2.3
C04,Control,root_biomass,1.9
C05,Control,root_biomass,2.2
A01,Treatment_A,root_biomass,2.8
A02,Treatment_A,root_biomass,3.0
A03,Treatment_A,root_biomass,2.7
A04,Treatment_A,root_biomass,2.9
A05,Treatment_A,root_biomass,3.1
B01,Treatment_B,root_biomass,3.5
B02,Treatment_B,root_biomass,3.7
B03,Treatment_B,root_biomass,3.3
B04,Treatment_B,root_biomass,3.6
B05,Treatment_B,root_biomass,3.8
C01,Control,soil_nitrate,12.4
C02,Control,soil_nitrate,11.8
C03,Control,soil_nitrate,12.1
C04,Control,soil_nitrate,11.6
C05,Control,soil_nitrate,12.7
A01,Treatment_A,soil_nitrate,16.3
A02,Treatment_A,soil_nitrate,16.8
A03,Treatment_A,soil_nitrate,15.9
A04,Treatment_A,soil_nitrate,16.1
A05,Treatment_A,soil_nitrate,17.0
B01,Treatment_B,soil_nitrate,19.4
B02,Treatment_B,soil_nitrate,20.1
B03,Treatment_B,soil_nitrate,18.9
B04,Treatment_B,soil_nitrate,19.7
B05,Treatment_B,soil_nitrate,20.4
