metric,group,n,mean,sd,variance,median,se
nematode_density,Control,5,40.8,2.387467277262665,5.700000000000002,41.0,1.0677078252031311
nematode_density,Treatment_A,5,30.0,1.5811388300841895,2.4999999999999996,30.0,0.7071067811865476
nematode_density,Treatment_B,5,23.0,1.5811388300841895,2.4999999999999996,23.0,0.7071067811865476
plant_height,Control,5,18.16,0.4929503017546499,0.24300000000000038,18.2,0.22045407685048612
plant_height,Treatment_A,5,21.7,0.587367006223537,0.3450000000000006,21.7,0.26267851073127413
plant_height,Treatment_B,5,24.78,0.6220932405998315,0.3869999999999999,24.8,0.2782085548648713
root_biomass,Control,5,2.1,0.158113883008419,0.02500000000000001,2.1,0.07071067811865475
root_biomass,Treatment_A,5,2.9,0.15811388300841897,0.025000000000000005,2.9,0.07071067811865475
root_biomass,Treatment_B,5,3.5799999999999996,0.19235384061671348,0.03700000000000002,3.6,0.08602325267042628
soil_nitrate,Control,5,12.120000000000001,0.44384682042344276,0.19699999999999984,12.1,0.198494332412792
soil_nitrate,Treatment_A,5,16.419999999999998,0.46583258795408444,0.21699999999999983,16.3,0.20832666655999646
soil_nitrate,Treatment_B,5,19.7,0.587367006223537,0.3450000000000006,19.7,0.26267851073127413
